ST_CASE,STATENAME,LATITUDE,LONGITUD,FATALS,V_CONFIGNAME,year,,,,
490225,Utah,41.95175,-111.4927583,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2021,,,,
490226,Utah,40.64200833,-111.8658889,1,Not Applicable,2021,,,,
490226,Utah,40.64200833,-111.8658889,1,Not Applicable,2021,,,,
490227,Utah,40.20712222,-111.6702667,2,Not Applicable,2021,,,,
490227,Utah,40.20712222,-111.6702667,2,Not Applicable,2021,,,,
490229,Utah,40.55888333,-111.9082889,1,Not Applicable,2021,,,,
490229,Utah,40.55888333,-111.9082889,1,Not Applicable,2021,,,,
490229,Utah,40.55888333,-111.9082889,1,Not Applicable,2021,,,,
490229,Utah,40.55888333,-111.9082889,1,Not Applicable,2021,,,,
490230,Utah,40.51366944,-112.0435167,1,Not Applicable,2021,,,,
490230,Utah,40.51366944,-112.0435167,1,Not Applicable,2021,,,,
490231,Utah,40.532425,-111.8920722,1,Not Applicable,2021,,,,
490231,Utah,40.532425,-111.8920722,1,Not Applicable,2021,,,,
490232,Utah,38.86005,-110.8179778,1,Not Applicable,2021,,,,
490233,Utah,39.10454444,-113.1470917,1,Not Applicable,2021,,,,
490234,Utah,40.37626111,-111.7930306,2,Not Applicable,2021,,,,
490234,Utah,40.37626111,-111.7930306,2,Not Applicable,2021,,,,
490235,Utah,40.54581111,-112.3395694,1,Not Applicable,2021,,,,
490236,Utah,40.62229444,-112.3592722,1,Not Applicable,2021,,,,
490236,Utah,40.62229444,-112.3592722,1,Single-Unit Truck (3 or more axles),2021,,,,
490237,Utah,37.81646389,-112.9237028,1,Not Applicable,2021,,,,
