ST_CASE,CITY,DAY,MONTH,YEAR,HOUR,ROUTE,LATITUDE,LONGITUD,REL_ROAD,FATALS,HARM_EV,TWAY_ID,BODY_TYP_1,BODY_TYP_2,BODY_TYP_3,BODY_TYP_4,BODY_TYP_5,BODY_TYP_1_TEXT,BODY_TYP_2_TEXT,BODY_TYP_3_TEXT,BODY_TYP_4_TEXT,BODY_TYP_5_TEXT,HARM_EV_TEXT
490198,350,6,10,2021,3,3,40.21296944,-110.3892972,1,1,8,SR-87,66,,,,,Semi truck,,,,,Hit pedestrian
490260,620,21,12,2020,7,1,38.92146667,-110.3906556,4,1,35,I-70,14,,,,,SUV,,,,,Hit ditch
490113,0,13,8,2013,5,6,40.25866111,-110.4461028,5,1,1,BLACK TAIL DUGWAY,31,,,,,Pickup truck,,,,,Rollover
490016,620,2,2,2022,12,1,38.92381389,-110.4479139,4,1,5,I-70,66,,,,,Semi truck,,,,,Fell out
490005,0,29,1,2012,2,5,39.77455833,-110.4568417,5,2,1,NINE MILE RD,14,,,,,SUV,,,,,Rollover
490013,620,23,1,2021,19,1,38.93688333,-110.4646444,3,1,25,I-70,21,,,,,Van,,,,,Hit object
490019,0,27,2,2014,15,2,39.443025,-110.4667111,1,1,12,US-6,14,2,,,,SUV,Car,,,,Hit other vehicle
490029,0,20,3,2016,14,2,39.44440556,-110.4681222,1,1,12,US-6,4,31,4,,,Car,Pickup truck,Car,,,Hit other vehicle
490081,0,21,5,2015,14,2,39.46384444,-110.4906833,4,1,24,US-6,80,,,,,Motorcycle,,,,,Hit object
490001,358,2,1,2022,21,3,39.53586667,-110.5009667,4,1,1,SR-123,4,,,,,Car,,,,,Rollover
490136,0,16,7,2015,15,1,38.91316111,-110.5088611,1,1,12,I-70,4,66,,,,Car,Semi truck,,,,Hit other vehicle
490203,350,18,10,2018,23,2,40.17773333,-110.5109222,4,1,24,US-40,14,66,,,,SUV,Semi truck,,,,Hit object
490096,0,3,6,2016,5,3,40.06785556,-110.5128083,1,1,8,SR-191,4,,,,,Car,,,,,Hit pedestrian
490113,620,16,7,2020,1,1,38.91367222,-110.5202639,1,1,91,I-70,4,,,,,Car,,,,,Hit object
490131,350,20,7,2018,9,3,40.02173889,-110.5581944,1,2,12,SR-191,34,65,,,,Pickup truck,Heavy truck,,,,Hit other vehicle
490221,0,11,12,2014,4,3,39.52799444,-110.5713889,4,1,31,SR-123,31,,,,,Pickup truck,,,,,Hit object
490153,0,16,10,2013,12,2,39.52565556,-110.5730611,1,1,12,US-6,14,14,,,,SUV,SUV,,,,Hit other vehicle
490104,2070,1,7,2020,22,6,39.55433611,-110.5902278,1,1,1,CLARKS VALLEY RD,6,,,,,Car,,,,,Rollover
490204,0,23,10,2016,13,2,39.535525,-110.5960556,5,1,1,US-191,67,,,,,Pickup truck,,,,,Rollover
490082,620,4,6,2018,13,1,38.89706389,-110.5985139,3,1,35,I-70,14,,,,,SUV,,,,,Hit ditch
490131,2070,21,7,2021,13,6,39.70548611,-110.6100722,2,1,1,NINE MILE CANYON RD,82,,,,,Motorcycle,,,,,Rollover
490199,0,19,9,2016,8,8,37.97704444,-110.6128639,4,1,1,1300,14,,,,,SUV,,,,,Rollover
490112,0,29,6,2016,13,1,38.89424444,-110.6170861,4,3,35,I-70,31,,,,,Pickup truck,,,,,Hit ditch
490063,0,7,5,2016,3,4,38.65305278,-110.6529028,2,1,1,CR-1015,90,,,,,Motorcycle,,,,,Rollover
490069,2070,7,5,2015,5,2,39.55083333,-110.6591444,1,2,12,US-6,4,29,,,,Car,Van,,,,Hit other vehicle
490161,2070,23,8,2020,0,3,39.55075833,-110.6603167,4,1,1,SR-6,4,,,,,Car,,,,,Rollover
490122,0,3,9,2012,20,3,38.30157778,-110.6694833,4,1,1,SR-95,2,,,,,Car,,,,,Rollover
490034,2070,28,2,2021,5,3,39.54255,-110.6874694,4,1,38,SR-6,20,,,,,Van,,,,,Hit object
490103,9997,30,6,2021,14,3,37.67428611,-110.6914667,1,1,1,SR-276,15,,,,,SUV,,,,,Rollover
490006,2070,11,1,2017,10,2,39.54244444,-110.7189694,1,1,12,US-6,4,34,,,,Car,Pickup truck,,,,Hit other vehicle
490168,740,20,8,2022,1,6,39.46247222,-110.7249861,4,1,35,8900 S,4,,,,,Car,,,,,Hit ditch
490214,1540,26,9,2020,22,5,39.62367778,-110.7354556,4,1,1,AIRPORT ROAD,4,,,,,Car,,,,,Rollover
490132,0,28,9,2013,18,3,38.37159444,-110.7529111,1,1,12,SR-24,80,80,,,,Motorcycle,Motorcycle,,,,Hit other vehicle
490068,9997,27,3,2021,15,3,40.19896667,-110.7791167,4,2,1,SR-40,14,,,,,SUV,,,,,Rollover
490183,1540,7,9,2021,18,3,39.57079722,-110.7806806,4,1,30,SR-6,34,,,,,Pickup truck,,,,,Hit object
490211,660,2,11,2017,12,2,39.79195833,-110.7843694,4,1,35,US-191,4,,,,,Car,,,,,Hit ditch
490178,0,9,12,2013,7,2,39.57915278,-110.7859167,1,1,12,US-6,4,6,,,,Car,Car,,,,Hit other vehicle
490148,2070,16,8,2014,20,6,39.53325833,-110.7868611,1,1,12,LOWER MILLER CREEK RD,80,66,,,,Motorcycle,Semi truck,,,,Hit other vehicle
490070,2070,22,5,2020,17,6,39.50219167,-110.7872167,1,1,12,Upper Miller Creek Road,83,15,,,,Motorcycle,SUV,,,,Hit other vehicle
490048,1540,13,5,2019,22,2,39.59220278,-110.7899722,1,1,12,US-55,4,80,,,,Car,Motorcycle,,,,Hit other vehicle
490095,660,26,5,2022,17,2,39.78636111,-110.7911083,4,1,24,US-191,80,,,,,Motorcycle,,,,,Hit object
